遊戲名稱,期別,開獎日期,銷售總額,銷售注數,總獎金,獎號1,獎號2,獎號3,獎號4,獎號5,獎號6,特別號
大樂透,114000001,2025/01/03,117667250,2353345,248630095,6,9,15,29,30,48,23
大樂透,114000002,2025/01/07,128178500,2563570,275475149,1,8,20,26,29,35,19
大樂透,114000003,2025/01/10,128446650,2568933,303665086,14,29,35,36,37,49,40
大樂透,114000004,2025/01/14,139720950,2794419,344207417,1,3,13,15,37,48,42
大樂透,114000005,2025/01/17,144271100,2885422,382395452,11,18,32,39,44,49,46
大樂透,114000006,2025/01/21,161283450,3225669,419181534,6,21,35,36,38,42,22
大樂透,114000007,2025/01/24,309408250,6188165,537013182,6,22,23,30,36,37,13
大樂透,114000008,2025/01/25,179145750,3582915,105759534,2,3,10,12,34,40,41
大樂透,114000009,2025/01/26,180141500,3602830,167815782,7,12,16,31,40,43,34
大樂透,114000010,2025/01/27,209473350,4189467,173878798,11,22,30,35,37,38,33
大樂透,114000011,2025/01/28,289525150,5790503,162134084,4,8,20,26,31,34,16
大樂透,114000012,2025/01/29,300166350,6003327,230156072,15,17,22,26,32,42,12
大樂透,114000013,2025/01/30,287257700,5745154,290545375,5,8,27,29,30,48,35
大樂透,114000014,2025/01/31,268546050,5370921,150385788,7,11,13,23,39,42,15
大樂透,114000015,2025/02/01,252623950,5052479,198454646,2,9,10,18,39,40,08
大樂透,114000016,2025/02/02,241286600,4825732,243174027,10,16,25,28,33,37,13
大樂透,114000017,2025/02/03,189620750,3792415,106187620,7,20,29,32,33,39,47
大樂透,114000018,2025/02/04,192171250,3843425,155931607,15,17,21,26,30,47,48
大樂透,114000019,2025/02/05,171438900,3428778,185893134,3,6,13,32,33,41,44
大樂透,114000020,2025/02/06,176381650,3527633,228588008,2,5,18,19,42,45,11
大樂透,114000021,2025/02/07,186341300,3726826,271182281,14,22,25,44,46,49,16
大樂透,114000022,2025/02/08,162801400,3256028,301413957,3,6,23,26,40,43,02
大樂透,114000023,2025/02/09,158217000,3164340,334619015,4,6,13,14,22,25,35
大樂透,114000024,2025/02/10,190039250,3800785,386577813,1,18,28,34,35,43,24
大樂透,114000025,2025/02/11,220951600,4419032,446774384,7,19,25,27,34,35,12
大樂透,114000026,2025/02/12,275986100,5519722,524881462,12,30,31,37,47,49,38
大樂透,114000027,2025/02/14,223845550,4476911,554037983,8,11,14,29,33,45,34
大樂透,114000028,2025/02/18,132438150,2648763,147299242,5,9,10,31,35,37,30
大樂透,114000029,2025/02/21,121770300,2435406,70320999,2,7,27,30,38,49,06
大樂透,114000030,2025/02/25,127092000,2541840,100430442,13,15,24,37,38,43,44
大樂透,114000031,2025/02/28,108696800,2173936,123108052,7,19,25,26,38,39,04
大樂透,114000032,2025/03/04,103806750,2076135,135527721,7,21,31,36,46,47,08
大樂透,114000033,2025/03/07,103273750,2065475,159551900,5,7,26,30,40,48,08
大樂透,114000034,2025/03/11,115979500,2319590,189922884,2,18,25,37,38,47,42
大樂透,114000035,2025/03/14,110277200,2205544,211070092,6,7,13,17,21,23,48
大樂透,114000036,2025/03/18,113811650,2276233,238406078,7,8,13,17,29,36,18
大樂透,114000037,2025/03/21,99630500,1992610,59405426,13,25,29,40,46,47,22
大樂透,114000038,2025/03/25,99662750,1993255,81548545,17,24,40,41,46,48,27
大樂透,114000039,2025/03/28,94683750,1893675,107046621,1,7,11,15,27,30,42
大樂透,114000040,2025/04/01,91819250,1836385,120768573,4,16,18,29,35,37,33
大樂透,114000041,2025/04/04,95141550,1902831,143645668,7,20,29,40,43,47,28
大樂透,114000042,2025/04/08,104466650,2089333,170193659,10,26,33,39,45,46,19
大樂透,114000043,2025/04/11,104235300,2084706,193300544,6,10,11,17,23,32,27
大樂透,114000044,2025/04/15,95742900,1914858,53616024,18,28,37,41,43,46,11
大樂透,114000045,2025/04/18,92468150,1849363,77516922,2,8,15,22,29,45,09
大樂透,114000046,2025/04/22,92194050,1843881,92230957,1,6,14,19,35,49,08
大樂透,114000047,2025/04/25,88305700,1766114,109221364,20,21,24,25,31,35,28
大樂透,114000048,2025/04/29,93054950,1861099,135002807,7,11,24,26,30,42,37
大樂透,114000049,2025/05/02,91388200,1827764,51177392,2,5,39,43,45,47,26
大樂透,114000050,2025/05/06,92183750,1843675,134239474,5,8,9,25,30,45,31
大樂透,114000051,2025/05/09,88689550,1773791,49666148,15,27,33,42,48,49,39
大樂透,114000052,2025/05/13,90702450,1814049,72348177,1,23,29,41,45,49,24
大樂透,114000053,2025/05/16,90376150,1807523,94895006,13,16,22,23,34,39,14
大樂透,114000054,2025/05/20,125851550,2517031,137359743,2,11,15,26,29,48,31
大樂透,114000055,2025/05/23,136810750,2736215,168947193,1,7,11,24,44,48,10
大樂透,114000056,2025/05/27,145638350,2912767,205132759,16,17,26,29,32,40,10
